Variable Name	Variable Class	Description of Variable	Range
Subject	integer	Subject ID number	1-30 all values are present in this dataset
Activity	character string	"Factor variable of 6 levels: (walking, walking upstairs, walking downstairs, sitting, standing, laying)"	"6 levels, all levels present for each subject in dataset"
MeanTimeBodyAccelerationXaxis	numeric	"mean of time domain linear acceleration due to body, X-axis"	"[-1,1], normalized"
MeanTimeBodyAccelerationYaxis	numeric	"mean of time domain linear acceleration due to body, Y-axis"	"[-1,1], normalized"
MeanTimeBodyAccelerationZaxis	numeric	"mean of time domain linear acceleration due to body, Z-axis"	"[-1,1], normalized"
StDevTimeBodyAccelerationXaxis	numeric	"standard deviation of time domain linear acceleration due to body, X-axis"	"[-1,1], normalized"
StDevTimeBodyAccelerationYaxis	numeric	"standard deviation of time domain linear acceleration due to body, Y-axis"	"[-1,1], normalized"
StDevTimeBodyAccelerationZaxis	numeric	"standard deviation of time domain linear acceleration due to body, Z-axis"	"[-1,1], normalized"
MeanTimeGravityAccelerationXaxis	numeric	"mean of time domain linear acceleration due to gravity, X-axis"	"[-1,1], normalized"
MeanTimeGravityAccelerationYaxis	numeric	"mean of time domain linear acceleration due to gravity, Y-axis"	"[-1,1], normalized"
MeanTimeGravityAccelerationZaxis	numeric	"mean of time domain linear acceleration due to gravity, Z-axis"	"[-1,1], normalized"
StDevTimeGravityAccelerationXaxis	numeric	"standard deviation of time domain linear acceleration due to gravity, X-axis"	"[-1,1], normalized"
StDevTimeGravityAccelerationYaxis	numeric	"standard deviation of time domain linear acceleration due to gravity, Y-axis"	"[-1,1], normalized"
StDevTimeGravityAccelerationZaxis	numeric	"standard deviation of time domain linear acceleration due to gravity, Z-axis"	"[-1,1], normalized"
MeanTimeJerkBodyAccelerationXaxis	numeric	"mean of time domain linear acceleration due to body derived in time, X-axis"	"[-1,1], normalized"
MeanTimeJerkBodyAccelerationYaxis	numeric	"mean of time domain linear acceleration due to body derived in time, Y-axis"	"[-1,1], normalized"
MeanTimeJerkBodyAccelerationZaxis	numeric	"mean of time domain linear acceleration due to body derived in time, Z-axis"	"[-1,1], normalized"
